ENTITYID,ADDRESSSTATECODE,POSTALCODE
4,AZ,85260
6,AZ,85342
9,CO,80446
11,CA,95630
12,CA,95630
14,AZ,85086
15,CA,92283
16,AZ,86429
17,CA,94558
18,CA,92253
19,CA,93001
20,CA,93301
21,CA,96093
22,CA,93635
23,CA,95322
24,CA,93626
25,CA,95370
26,CA,95670
27,NM,87510
29,NV,89006
30,CA,96161
31,CA,93105
32,CA,96093
33,CA,94605
34,CA,95932
35,MT,59522
37,CA,95322
39,CA,95825
41,CA,95024
42,CA,95322
43,CA,96003
44,CA,95630
45,CA,96161
46,CA,95939
47,CA,96093
48,CO,80735
49,CO,80537
50,CO,81506
51,CO,80517
52,CO,80537
53,CO,81506
54,CO,81328
57,CO,81415
59,CO,81432
60,CO,81650
63,CO,81301
65,CO,80498
66,CO,80537
67,CO,80517
68,CO,80446
69,MT,59522
70,MT,59620
71,MT,59620
72,NE,69339
73,NE,68823
74,NE,68862
75,NE,69027
76,NE,69022
77,NE,69001
78,NE,69356
79,NE,69363
80,NE,69201
81,NE,68853
82,WY,82644
83,NE,69043
84,NE,69363
85,NV,89406
86,NV,89419
87,NM,99220
88,CO,80517
89,CO,80537
90,CO,81005
91,CO,81601
92,CO,80461
94,CO,80446
95,CO,81121
98,NM,88221
99,NM,87931
100,NM,87935
101,NM,87575
102,NM,87551
103,NM,88119
104,NM,87102
105,ID,83702
106,ID,83709
107,ID,83709
108,ID,83617
109,ID,83611
110,ID,83709
111,ID,83429
112,ID,83686
113,ID,83501
114,MA,1375
115,ID,83350
116,ID,83318
117,ID,83638
118,ID,83702
119,ID,83501
120,ID,83402
121,ID,83501
123,KS,67637
124,KS,67025
125,KS,67644
126,KS,67654
127,KS,66970
128,KS,67446
129,MT,59107
130,MT,59602
131,MT,59725
132,MT,59522
133,MT,59403
134,MT,59620
135,MT,59901
136,NM,87102
137,NM,87419
141,AK,99709
143,LA,71202
144,LA,71202
145,LA,71202
146,MS,38618
147,AR,71968
148,LA,71202
149,AR,71923
150,MS,38927
151,MS,38902
152,AR,71958
153,LA,70463
154,MS,38666
155,LA,71202
156,LA,71202
157,LA,71202
158,IA,52240
159,IA,52767
160,IA,50138
161,IA,50131
162,WI,54767
163,ND,58072
164,MN,56295
165,ND,58072
166,MN,56296
167,MN,54629
168,WI,54629
169,MN,55947
170,WI,55947
171,WI,54629
172,MN,55947
173,MN,54629
174,MN,54629
175,MN,56537
177,MN,54629
178,MN,54629
179,WI,54629
180,WI,54629
181,NY,17821
182,PA,17821
183,WV,26717
184,PA,16946
185,PA,17821
186,NY,17821
187,PA,16647
188,PA,16821
189,NY,17821
190,PA,17821
191,PA,16946
192,VA,24426
193,VA,23510
194,PA,18235
195,PA,19533
196,MD,21915
197,PA,18456
198,PA,18661
199,CT,6787
200,MA,2532
201,VT,5343
202,MA,1452
203,MA,1331
204,NH,3235
205,MA,1540
206,CT,6065
207,MA,1518
208,MA,1518
209,NH,3458
210,NH,3235
211,CT,6762
212,MA,1540
213,CT,6762
214,NH,3229
215,MA,1050
216,MA,1050
217,CT,6250
218,VT,5052
219,VT,5156
220,CT,6787
221,NH,3431
222,NH,3431
223,CT,6787
224,VT,5353
225,MA,1368
226,VT,5043
227,MA,1569
228,CT,6255
229,MA,1518
230,MA,1569
231,OR,97452
232,OR,97424
233,OR,97452
234,OR,97058
235,OR,97452
236,OR,97424
237,OR,97448
238,OR,97345
239,OR,97452
240,OR,97452
241,OR,97050
242,OR,97541
244,OR,97452
245,OR,97836
246,OR,97452
247,OR,97014
248,OR,97452
