AQC00914000,21392R,21392
AQW00061705,12263C,12263
CAW00064757,3172Q,3172
CQC00914080,8339P,8339
CQC00914801,9124R,9124
CQC00914855,6976P,6976
CQC00914874,7868P,7868
FMC00914213,11594R,11594
FMC00914325,12840P,12840
FMC00914395,19334P,19334
FMC00914419,14000P,14000
FMC00914429,12219R,12219
FMC00914446,11115R,11115
FMC00914482,15905R,15905
FMC00914585,11230R,11230
FMC00914590,15660R,15660
FMC00914705,21416R,21416
FMC00914720,15301R,15301
FMC00914761,10064R,10064
FMC00914808,11360R,11360
FMC00914831,11391R,11391
FMC00914892,10152R,10152
FMC00914898,18972P,18972
FMC00914911,12021P,12021
FMW00040308,12093C,12093
FMW00040504,18122S,18122
FMW00040505,13454S,13454
GQC00914001,9350P,9350
GQC00914025,9186P,9186
GQC00914156,9666P,9666
GQC00914468,9014P,9014
GQC00914950,7259P,7259
GQW00041415,9764S,9764
JQW00021603,2647P,2647
MQW00022701,3911P,3911
PSC00914519,14540R,14540
PSW00040309,14764C,14764
RMC00913915,11295R,11295
RMC00914304,12630R,12630
RMC00914487,11952R,11952
RMC00914903,5848R,5848
RMW00040604,9372S,9372
RMW00040710,12742C,12742
RQC00660040,7645S,7645
RQC00660053,7764R,7764
RQC00660061,7861S,7861
RQC00660152,3972S,3972
RQC00660158,6023R,6023
RQC00660426,8413S,8413
RQC00660668,6256R,6256
RQC00660948,3726R,3726
RQC00661142,8486S,8486
RQC00661309,6099R,6099
RQC00661345,5772S,5772
RQC00661590,7730S,7730
RQC00661901,5909R,5909
RQC00662316,3330R,3330
RQC00662330,8429R,8429
RQC00662336,9932R,9932
RQC00662634,6490R,6490
RQC00662723,4282R,4282
RQC00662801,7578R,7578
RQC00662934,7776R,7776
RQC00663023,6228S,6228
RQC00663409,6445R,6445
RQC00663431,7646S,7646
RQC00663532,3377S,3377
RQC00663657,6729R,6729
RQC00663904,7612S,7612
RQC00664126,4973R,4973
RQC00664193,5457R,5457
RQC00664276,6506S,6506
RQC00664340,5603R,5603
RQC00664702,6496R,6496
RQC00664867,7615S,7615
RQC00664910,8253R,8253
RQC00665020,4215R,4215
RQC00665064,6837S,6837
RQC00665097,4798R,4798
RQC00665123,7263R,7263
RQC00665693,4335Q,4335
RQC00665807,6164R,6164
RQC00665908,9083Q,9083
RQC00666050,7218R,7218
RQC00666073,5945R,5945
RQC00666083,8533S,8533
RQC00666258,3901R,3901
RQC00666270,6613R,6613
RQC00666361,6063S,6063
RQC00666390,7309S,7309
RQC00666514,7531S,7531
RQC00666805,10013S,10013
RQC00666900,5574R,5574
RQC00666983,5827R,5827
RQC00666992,17248R,17248
RQC00667292,3847S,3847
RQC00667295,2901R,2901
RQC00668126,5994Q,5994
RQC00668144,10711R,10711
RQC00668306,7078R,7078
RQC00668814,7311Q,7311
RQC00668815,9474S,9474
RQC00668940,3627S,3627
RQC00669421,6776R,6776
RQC00669432,9294R,9294
RQC00669521,7056R,7056
RQC00669608,7178R,7178
RQC00669774,5762R,5762
RQC00669860,4748S,4748
RQW00011603,5472R,5472
RQW00011630,5234R,5234
RQW00011641,5635S,5635
USC00010008,5551S,5551
USC00010063,5824R,5824
USC00010140,5431S,5431
USC00010160,5562S,5562
USC00010178,5617R,5617
USC00010184,5314S,5314
USC00010252,5997R,5997
USC00010260,5793Q,5793
USC00010369,5815R,5815
USC00010390,5689R,5689
USC00010402,6269R,6269
USC00010425,5357R,5357
USC00010430,5255R,5255
USC00010440,5156R,5156
USC00010505,5984S,5984
USC00010583,6890S,6890
USC00010655,5321R,5321
USC00010748,5843Q,5843
USC00010764,5712S,5712
USC00010957,5436R,5436
USC00011080,7073S,7073
USC00011084,6585S,6585
USC00011099,6011R,6011
USC00011178,5736R,5736
USC00011288,5528R,5528
USC00011301,5585R,5585
USC00011324,5366Q,5366
USC00011377,5762R,5762
USC00011490,5410Q,5410
USC00011620,5347S,5347
USC00011690,5283R,5283
USC00011694,5788R,5788
USC00011810,5294S,5294
USC00012096,5862R,5862
USC00012172,6138R,6138
USC00012245,5452S,5452
USC00012377,5591Q,5591
USC00012577,5804R,5804
