AQW00061705,817C,817
CAW00064757,446Q,446
CQC00914080,786P,786
CQC00914801,802R,802
FMC00914395,804P,804
FMC00914419,819P,819
FMC00914446,819P,819
FMC00914482,793P,793
FMC00914720,819P,819
FMC00914761,816P,816
FMC00914831,809P,809
FMC00914892,828P,828
FMC00914898,814P,814
FMC00914911,814P,814
FMW00040308,827S,827
FMW00040504,809S,809
FMW00040505,816P,816
GQC00914025,808P,808
GQW00041415,815S,815
JQW00021603,808P,808
PSC00914519,799P,799
PSC00914712,796P,796
PSW00040309,818S,818
RMW00040604,823S,823
RMW00040710,821S,821
RQC00660061,703R,703
RQC00660152,794R,794
RQC00660158,712R,712
RQC00660410,780R,780
RQC00660426,755S,755
RQC00661901,733R,733
RQC00662336,640R,640
RQC00662801,780S,780
RQC00662934,768R,768
RQC00663409,772P,772
RQC00663431,771S,771
RQC00663657,798R,798
RQC00664193,809R,809
RQC00664276,777S,777
RQC00664702,772S,772
RQC00665064,780R,780
RQC00665097,782R,782
RQC00665693,809R,809
RQC00665807,778R,778
RQC00665908,715R,715
RQC00666073,788R,788
RQC00666258,800R,800
RQC00666992,653R,653
RQC00667292,798S,798
RQC00668126,787Q,787
RQC00668306,790R,790
RQC00668881,783R,783
RQC00669521,790S,790
RQC00669608,755R,755
RQW00011603,789R,789
RQW00011630,808R,808
RQW00011641,810S,810
USC00010063,601Q,601
USC00010160,624S,624
USC00010178,632R,632
USC00010252,640R,640
USC00010260,590Q,590
USC00010369,608R,608
USC00010390,609R,609
USC00010402,658S,658
USC00010425,635R,635
USC00010430,640R,640
USC00010505,626R,626
USC00010583,666S,666
USC00010655,594S,594
USC00010764,627S,627
USC00011080,650S,650
USC00011084,657R,657
USC00011099,590S,590
USC00011301,648R,648
USC00011324,607R,607
USC00011490,597Q,597
USC00011566,644R,644
USC00011620,631S,631
USC00011694,622R,622
USC00011725,632R,632
USC00011803,657R,657
USC00012096,595R,595
USC00012172,694S,694
USC00012209,613Q,613
USC00012245,627R,627
USC00012675,666R,666
USC00012730,660R,660
USC00012758,649R,649
USC00012813,673C,673
USC00012840,599R,599
USC00012883,628R,628
USC00013043,610Q,610
USC00013105,651R,651
USC00013154,619S,619
USC00013160,637S,637
USC00013251,657R,657
USC00013511,656R,656
USC00013519,635S,635
USC00013573,614R,614
USC00013575,617R,617
USC00013620,630S,630
USC00013645,600S,600
USC00013655,610Q,610
USC00013761,664R,664
USC00013775,602R,602
USC00013781,633Q,633
USC00013816,619S,619
USC00014193,648R,648
USC00014226,608R,608
USC00014502,614R,614
USC00014798,634R,634
USC00015121,635R,635
USC00015140,627R,627
USC00015439,644R,644
USC00015553,645R,645
USC00015635,605S,605
USC00015752,592Q,592
USC00016000,623Q,623
USC00016121,611R,611
USC00016129,620R,620
USC00016196,596Q,596
USC00016478,608S,608
USC00016988,663S,663
USC00017020,624R,624
USC00017025,614R,614
USC00017131,602R,602
USC00017157,605R,605
USC00017207,594S,594
USC00017304,601R,601
USC00017366,649R,649
USC00017999,613S,613
USC00018024,612S,612
USC00018178,648S,648
USC00018209,637S,637
USC00018323,648R,648
USC00018380,650S,650
USC00018438,632S,632
USC00018469,586S,586
USC00018517,619R,619
USC00018812,604Q,604
USC00018859,640Q,640
USC00018867,640R,640
USC00018998,599R,599
USC00020060,659R,659
USC00020080,737Q,737
USC00020100,709S,709
USC00020159,448R,448
USC00020170,456Q,456
USC00020287,659S,659
USC00020288,713R,713
USC00020404,710Q,710
USC00020586,599R,599
USC00020632,717R,717
USC00020670,611R,611
USC00020672,673R,673
USC00020678,431R,431
USC00020683,622R,622
USC00020750,505S,505
USC00020775,592R,592
USC00020808,525R,525
USC00020871,479R,479
USC00020949,707S,707
USC00020958,637S,637
USC00021001,435R,435
USC00021026,715R,715
USC00021050,747S,747
USC00021169,593R,593
USC00021231,586S,586
USC00021248,533S,533
USC00021282,707R,707
USC00021306,718R,718
USC00021314,704S,704
USC00021330,635S,635
USC00021353,706S,706
USC00021357,654Q,654
USC00021514,708R,708
USC00021574,487R,487
USC00021614,637R,637
USC00021654,567Q,567
USC00021664,593R,593
USC00021849,667R,667
USC00021920,542R,542
USC00022109,619S,619
USC00022140,606S,606
USC00022329,542R,542
USC00022434,717R,717
USC00022527,531R,531
USC00022659,648R,648
USC00022754,613S,613
USC00022782,718Q,718
USC00022790,745R,745
USC00022807,706R,706
USC00023009,438R,438
USC00023027,718R,718
USC00023110,617Q,617
USC00023150,638S,638
USC00023160,430S,430
USC00023190,716S,716
USC00023250,530Q,530
USC00023303,505R,505
USC00023393,740S,740
USC00023505,620R,620
USC00023596,483S,483
USC00023668,684R,684
USC00023683,435R,435
USC00023828,450R,450
USC00023961,502Q,502
USC00024053,595R,595
USC00024089,554S,554
USC00024453,602S,602
USC00024586,510R,510
USC00024645,618R,618
USC00024675,562R,562
USC00024686,532R,532
USC00024702,738S,738
USC00024759,750R,750
USC00024761,746R,746
USC00024829,732R,732
USC00024849,631R,631
USC00024977,722R,722
USC00025129,507R,507
USC00025270,714C,714
USC00025412,477S,477
USC00025426,655Q,655
USC00025512,663R,663
USC00025635,624S,624
USC00025665,562R,562
USC00025700,719R,719
USC00025780,464R,464
USC00025825,584Q,584
USC00025924,620S,620
USC00026037,572R,572
USC00026119,621R,621
USC00026132,712S,712
USC00026180,588S,588
USC00026190,552Q,552
USC00026194,736Q,736
USC00026242,562Q,562
USC00026250,742R,742
USC00026353,610R,610
USC00026468,551S,551
USC00026471,683S,683
USC00026513,717R,717
USC00026597,496R,496
USC00026601,509Q,509
USC00026603,699Q,699
USC00026616,550S,550
USC00026653,543R,543
USC00026716,546S,546
USC00026796,548R,548
USC00026840,657R,657
USC00026865,733R,733
USC00027281,676S,676
USC00027370,712R,712
USC00027390,640S,640
USC00027435,539S,539
USC00027480,668R,668
USC00027488,530R,530
USC00027560,625R,625
USC00027593,650R,650
USC00027619,643R,643
USC00027625,629R,629
USC00027708,620R,620
USC00027716,549S,549
USC00027855,532S,532
USC00027880,635R,635
USC00028012,539C,539
USC00028018,533R,533
USC00028112,701R,701
USC00028162,499R,499
USC00028214,702R,702
USC00028329,457S,457
USC00028348,699R,699
USC00028396,722S,722
USC00028468,557R,557
USC00028499,713R,713
USC00028516,705R,705
USC00028619,636S,636
USC00028641,716R,716
USC00028792,569R,569
USC00028795,698R,698
USC00028796,693R,693
USC00028800,687R,687
USC00028815,702S,702
USC00028817,700R,700
USC00028865,637S,637
USC00028904,631R,631
USC00029114,613R,613
USC00029156,500Q,500
USC00029158,534S,534
USC00029271,558R,558
USC00029287,661S,661
USC00029309,666R,666
USC00029334,617S,617
USC00029359,507S,507
USC00029376,739R,739
USC00029410,479R,479
USC00029464,706Q,706
USC00029542,579S,579
USC00029634,731S,731
USC00029645,692S,692
USC00029652,723R,723
USC00029656,740R,740
USC00030064,594S,594
USC00030130,599S,599
USC00030220,620R,620
USC00030240,630S,630
USC00030458,578S,578
USC00030460,594R,594
USC00030536,617S,617
USC00030582,622R,622
USC00030586,568R,568
USC00030618,584Q,584
USC00030664,596Q,596
USC00030764,593R,593
USC00030798,614S,614
USC00030806,604S,604
USC00030832,601S,601
USC00030936,610R,610
USC00031102,610R,610
USC00031132,571S,571
USC00031140,623R,623
USC00031152,627S,627
USC00031191,631R,631
USC00031442,612R,612
USC00031455,596R,596
USC00031457,587Q,587
USC00031459,606R,606
USC00031596,605R,605
USC00031632,594S,594
USC00031730,624S,624
USC00031838,618S,618
USC00031900,550S,550
USC00031948,616S,616
USC00031962,638S,638
USC00031968,620R,620
USC00032148,633S,633
USC00032355,652S,652
USC00032356,581R,581
USC00032366,590R,590
USC00032444,582R,582
USC00032540,610S,610
USC00032794,582S,582
USC00032930,590S,590
USC00032962,585R,585
USC00032978,593S,593
