AQW00061705,863C,863
CAW00064757,541Q,541
CQC00914080,828P,828
CQC00914801,856R,856
FMC00914395,880P,880
FMC00914419,887P,887
FMC00914446,871P,871
FMC00914482,870R,870
FMC00914720,896R,896
FMC00914761,898P,898
FMC00914831,862P,862
FMC00914892,878P,878
FMC00914898,876P,876
FMC00914911,880P,880
FMW00040308,877S,877
FMW00040504,882C,882
FMW00040505,864S,864
GQC00914025,846P,846
GQW00041415,865S,865
JQW00021603,859P,859
PSC00914519,869P,869
PSC00914712,832P,832
PSW00040309,869S,869
RMW00040604,864S,864
RMW00040710,863S,863
RQC00660061,826S,826
RQC00660152,879S,879
RQC00660158,776R,776
RQC00660410,885R,885
RQC00660426,848S,848
RQC00661901,813R,813
RQC00662336,686R,686
RQC00662801,878S,878
RQC00662934,864R,864
RQC00663409,839P,839
RQC00663431,867S,867
RQC00663657,872R,872
RQC00664193,874R,874
RQC00664276,877S,877
RQC00664702,852S,852
RQC00665064,870S,870
RQC00665097,894R,894
RQC00665693,891R,891
RQC00665807,855R,855
RQC00665908,787R,787
RQC00666073,886R,886
RQC00666258,887R,887
RQC00666992,688R,688
RQC00667292,890S,890
RQC00668126,871Q,871
RQC00668306,876R,876
RQC00668881,911R,911
RQC00669521,876S,876
RQC00669608,872R,872
RQW00011603,865R,865
RQW00011630,865R,865
RQW00011641,867C,867
USC00010063,712Q,712
USC00010160,744S,744
USC00010178,760R,760
USC00010252,781S,781
USC00010260,706Q,706
USC00010369,735S,735
USC00010390,719R,719
USC00010402,770S,770
USC00010425,748R,748
USC00010430,750R,750
USC00010505,738C,738
USC00010583,767S,767
USC00010655,721S,721
USC00010764,739S,739
USC00011080,772S,772
USC00011084,783S,783
USC00011099,705S,705
USC00011301,762R,762
USC00011324,750R,750
USC00011490,722Q,722
USC00011566,779R,779
USC00011620,757S,757
USC00011694,738R,738
USC00011725,764R,764
USC00011803,755R,755
USC00012096,708R,708
USC00012172,754S,754
USC00012209,710Q,710
USC00012245,747S,747
USC00012675,777R,777
USC00012730,782R,782
USC00012758,767S,767
USC00012813,779C,779
USC00012840,721R,721
USC00012883,745R,745
USC00013043,719Q,719
USC00013105,762R,762
USC00013154,731S,731
USC00013160,754S,754
USC00013251,782S,782
USC00013511,771R,771
USC00013519,756S,756
USC00013573,717R,717
USC00013575,714R,714
USC00013620,731S,731
USC00013645,742S,742
USC00013655,729Q,729
USC00013761,776S,776
USC00013775,722S,722
USC00013781,746Q,746
USC00013816,748S,748
USC00014193,767R,767
USC00014226,733R,733
USC00014502,745R,745
USC00014798,758R,758
USC00015121,750C,750
USC00015140,742R,742
USC00015439,758R,758
USC00015553,763R,763
USC00015635,719S,719
USC00015752,705Q,705
USC00016000,733Q,733
USC00016121,731R,731
USC00016129,739R,739
USC00016196,715Q,715
USC00016478,729S,729
USC00016988,772S,772
USC00017020,735R,735
USC00017025,739R,739
USC00017131,715S,715
USC00017157,741S,741
USC00017207,698S,698
USC00017304,725R,725
USC00017366,763S,763
USC00017999,735S,735
USC00018024,740S,740
USC00018178,760S,760
USC00018209,742S,742
USC00018323,757R,757
USC00018380,763S,763
USC00018438,755S,755
USC00018469,705C,705
USC00018517,745R,745
USC00018812,715Q,715
USC00018859,750Q,750
USC00018867,761R,761
USC00018998,721S,721
USC00020060,820R,820
USC00020080,856Q,856
USC00020100,872S,872
USC00020159,610R,610
USC00020170,583Q,583
USC00020287,828S,828
USC00020288,854R,854
USC00020404,874Q,874
USC00020586,741R,741
USC00020632,853R,853
USC00020670,797R,797
USC00020672,825R,825
USC00020678,603R,603
USC00020683,801R,801
USC00020750,623S,623
USC00020775,726R,726
USC00020808,685S,685
USC00020871,633R,633
USC00020949,865S,865
USC00020958,799S,799
USC00021001,558R,558
USC00021026,887R,887
USC00021050,892S,892
USC00021169,749R,749
USC00021231,746S,746
USC00021248,678S,678
USC00021282,832R,832
USC00021306,885R,885
USC00021314,869S,869
USC00021330,821S,821
USC00021353,838S,838
