AQW00061705,770C,770
CAW00064757,350Q,350
CQC00914080,745P,745
CQC00914801,749R,749
FMC00914395,728P,728
FMC00914419,751P,751
FMC00914446,768R,768
FMC00914482,716P,716
FMC00914720,742P,742
FMC00914761,734P,734
FMC00914831,755R,755
FMC00914892,779R,779
FMC00914898,753P,753
FMC00914911,747P,747
FMW00040308,778C,778
FMW00040504,737S,737
FMW00040505,768P,768
GQC00914025,769P,769
GQW00041415,764S,764
JQW00021603,757P,757
PSC00914519,729R,729
PSC00914712,761P,761
PSW00040309,767S,767
RMW00040604,782S,782
RMW00040710,779S,779
RQC00660061,580R,580
RQC00660152,709R,709
RQC00660158,648R,648
RQC00660410,676R,676
RQC00660426,661S,661
RQC00661901,654R,654
RQC00662336,594R,594
RQC00662801,682S,682
RQC00662934,672R,672
RQC00663409,704P,704
RQC00663431,675S,675
RQC00663657,724R,724
RQC00664193,744R,744
RQC00664276,678S,678
RQC00664702,693S,693
RQC00665064,689R,689
RQC00665097,670R,670
RQC00665693,728R,728
RQC00665807,701R,701
RQC00665908,643R,643
RQC00666073,691R,691
RQC00666258,714R,714
RQC00666992,618R,618
RQC00667292,706S,706
RQC00668126,702Q,702
RQC00668306,704R,704
RQC00668881,656R,656
RQC00669521,704S,704
RQC00669608,637R,637
RQW00011603,712R,712
RQW00011630,750R,750
RQW00011641,754S,754
USC00010063,489Q,489
USC00010160,503S,503
USC00010178,504R,504
USC00010252,498S,498
USC00010260,475Q,475
USC00010369,480S,480
USC00010390,499R,499
USC00010402,546S,546
USC00010425,523R,523
USC00010430,530R,530
USC00010505,515R,515
USC00010583,566S,566
USC00010655,466S,466
USC00010764,515S,515
USC00011080,529S,529
USC00011084,531R,531
USC00011099,474S,474
USC00011301,534R,534
USC00011324,463R,463
USC00011490,471Q,471
USC00011566,509R,509
USC00011620,506S,506
USC00011694,505R,505
USC00011725,501R,501
USC00011803,559R,559
USC00012096,483R,483
USC00012172,635S,635
USC00012209,516Q,516
USC00012245,508R,508
USC00012675,555R,555
USC00012730,538R,538
USC00012758,532R,532
USC00012813,568C,568
USC00012840,477R,477
USC00012883,511R,511
USC00013043,501Q,501
USC00013105,540R,540
USC00013154,508S,508
USC00013160,520S,520
USC00013251,531S,531
USC00013511,541S,541
USC00013519,513S,513
USC00013573,512S,512
USC00013575,520R,520
USC00013620,530S,530
USC00013645,459S,459
USC00013655,490Q,490
USC00013761,553R,553
USC00013775,482R,482
USC00013781,519Q,519
USC00013816,491S,491
USC00014193,530S,530
USC00014226,484R,484
USC00014502,483R,483
USC00014798,510R,510
USC00015121,520R,520
USC00015140,511R,511
USC00015439,530R,530
USC00015553,528R,528
USC00015635,492S,492
USC00015752,478Q,478
USC00016000,512Q,512
USC00016121,490R,490
USC00016129,500R,500
USC00016196,476Q,476
USC00016478,487S,487
USC00016988,554S,554
USC00017020,513R,513
